sofifa_id,short_name,overall,age,nationality,club,player_positions
9014,A. Robben,90,30,Netherlands,FC Bayern München,RM, LM, RW
7826,R. van Persie,88,30,Netherlands,Manchester United,ST
139869,W. Sneijder,84,30,Netherlands,Galatasaray SK,CAM, CM, LM
148803,K. Huntelaar,84,30,Netherlands,FC Schalke 04,ST
189712,K. Strootman,81,24,Netherlands,Roma,CM
45574,R. van der Vaart,81,31,Netherlands,Hamburger SV,CAM, CF, CM
53578,N. de Jong,81,29,Netherlands,Milan,CDM, CM
170597,T. Krul,79,26,Netherlands,Newcastle United,GK
190815,D. Blind,79,24,Netherlands,Manchester United,CDM, LB, CM
199987,J. Cillessen,79,25,Netherlands,Ajax,GK
137677,M. Vorm,79,30,Netherlands,Tottenham Hotspur,GK
168585,R. Vlaar,79,29,Netherlands,Aston Villa,CB
202556,M. Depay,78,20,Netherlands,PSV,LW
181291,G. Wijnaldum,78,23,Netherlands,PSV,CAM, RW, CM
198176,S. de Vrij,78,22,Netherlands,Lazio,CB
178416,J. Lens,78,26,Netherlands,Netherlands,RW, ST
190778,J. Zoet,77,23,Netherlands,PSV,GK
183937,G. van der Wiel,77,26,Netherlands,Paris Saint-Germain,RB
186452,S. de Jong,77,25,Netherlands,Newcastle United,CAM, ST
2147,M. Stekelenburg,77,31,Netherlands,AS Monaco,GK
169181,K. Vermeer,77,28,Netherlands,Feyenoord,GK
199767,M. van Ginkel,76,21,Netherlands,Milan,CM
186351,L. Fer,76,24,Netherlands,Queens Park Rangers,CM, CDM
199422,J. Clasie,76,23,Netherlands,Feyenoord,CM
177569,J. De Guzmán,76,26,Netherlands,Napoli,CAM, CM
189068,B. Dost,76,25,Netherlands,VfL Wolfsburg,ST
172049,E. Elia,76,27,Netherlands,SV Werder Bremen,RM, LM, LW, RW
15723,D. Kuyt,76,33,Netherlands,Fenerbahçe SK,RW, CF, RM, RWB
49425,J. Heitinga,76,30,Netherlands,Hertha BSC,CB
158372,I. Afellay,76,28,Netherlands,Olympiacos CFP,LM, CAM, LW
205402,J. Boëtius,75,20,Netherlands,Feyenoord,LW
200223,A. Maher,75,20,Netherlands,PSV,CAM, CM
203483,D. Klaassen,75,21,Netherlands,Ajax,CAM, CM
199550,B. Martins Indi,75,22,Netherlands,FC Porto,CB, LB
189805,L. de Jong,75,23,Netherlands,PSV,ST, CAM
208004,J. Veltman,75,22,Netherlands,Ajax,CB
188155,D. Janmaat,75,24,Netherlands,Newcastle United,RB
188177,Douglas,75,26,Netherlands,Dinamo Moscow,CB
192362,L. Narsingh,75,23,Netherlands,PSV,RW
203376,V. van Dijk,75,22,Netherlands,Celtic,CB
177152,P. Velthuizen,75,27,Netherlands,Vitesse,GK
189936,R. Ruiter,75,27,Netherlands,FC Utrecht,GK
137109,S. Schaars,75,30,Netherlands,PSV,CM, CDM
203485,T. Kongolo,74,20,Netherlands,Feyenoord,CB, LB
208670,H. Ziyech,74,21,Netherlands,FC Twente,CAM
202101,O. John,74,22,Netherlands,SL Benfica,LM, RM
208808,Q. Promes,74,22,Netherlands,Spartak Moscow,RW
193158,D. Pröpper,74,22,Netherlands,Vitesse,CAM, CM
198006,J. Toornstra,74,25,Netherlands,Feyenoord,CAM
157301,R. Babel,74,27,Netherlands,Kasimpaşa SK,LM, RM
183940,V. Anita,74,25,Netherlands,Newcastle United,CDM, CM
7814,J. Mathijsen,74,34,Netherlands,Feyenoord,CB
138532,R. Brouwers,74,32,Netherlands,Borussia Mönchengladbach,CB
148839,P. Verhaegh,74,30,Netherlands,FC Augsburg,RB
211176,R. Kishna,73,19,Netherlands,Ajax,LW, RW
203535,T. Vilhena,73,19,Netherlands,Feyenoord,CM
204366,J. Locadia,73,20,Netherlands,PSV,ST
205193,K. Rekik,73,19,Netherlands,PSV,CB
198175,L. Castaignos,73,21,Netherlands,FC Twente,ST
195363,J. Bruma,73,22,Netherlands,PSV,CB
184457,R. van Wolfswinkel,73,25,Netherlands,AS Saint-Étienne,ST
186982,A. Büttner,73,25,Netherlands,Dinamo Moscow,LB
200111,R. van Rhijn,73,23,Netherlands,Ajax,RB
193442,L. Duarte,73,23,Netherlands,Ajax,CM, CAM
169978,R. Beerens,73,26,Netherlands,Hertha BSC,RM, RW, LW
178567,E. Pieters,73,25,Netherlands,Stoke City,LB
136764,K. Boulahrouz,73,32,Netherlands,Feyenoord,CB, RB
169808,U. Emanuelson,73,28,Netherlands,Roma,LB
178255,R. Donk,73,28,Netherlands,Kasimpaşa SK,CB, CDM
216433,A. El Ghazi,72,19,Netherlands,Ajax,RW, LW
202802,K. Ebecilio,72,20,Netherlands,FC Twente,CM, CDM
205995,J. Willems,72,20,Netherlands,PSV,LB
204102,Y. Ayoub,72,20,Netherlands,FC Utrecht,CM
205756,S. Denswil,72,21,Netherlands,Ajax,CB
207725,M. van der Hoorn,72,21,Netherlands,Ajax,CB
193057,C. Benschop,72,24,Netherlands,Fortuna Düsseldorf,ST, CF
200260,S. Berghuis,72,22,Netherlands,AZ Alkmaar,RW
202201,J. Gouweleeuw,72,22,Netherlands,AZ Alkmaar,CB
189715,M. Vejinović,72,24,Netherlands,Vitesse,CM, CDM
193091,B. Nuytinck,72,24,Netherlands,RSC Anderlecht,CB
178415,R. Vormer,72,26,Netherlands,Club Brugge KV,CM, CDM
204060,T. Chery,72,26,Netherlands,FC Groningen,CAM, RW
186456,J. van der Heijden,72,26,Netherlands,Vitesse,CB
148854,R. Schaken,72,32,Netherlands,Feyenoord,RW
168584,H. Maduro,72,29,Netherlands,PAOK,CDM, CB, CM
177752,R. Drenthe,72,27,Netherlands,Sheffield Wednesday,RM, LM, CAM
186190,P. van Aanholt,71,23,Netherlands,Sunderland,LB
189849,M. El Kabir,71,25,Netherlands,Al Ahli,ST
200110,M. Bizot,71,23,Netherlands,KRC Genk,GK
183567,E. Mulder,71,25,Netherlands,Feyenoord,GK
198135,D. Lachman,71,24,Netherlands,FC Twente,CB
193440,N. Viergever,71,24,Netherlands,Ajax,CDM, LB, CB
183593,J. John,71,25,Netherlands,FC Nordsjælland,LW, RW, LM
178556,D. Holla,71,26,Netherlands,Brighton & Hove Albion,CDM, CM
199614,G. Plet,71,26,Netherlands,SV Zulte-Waregem,ST
134947,R. Stam,71,30,Netherlands,Standard de Liège,RB
162328,R. Pasveer,71,30,Netherlands,PSV,GK
188157,L. Immers,71,28,Netherlands,Feyenoord,CAM
220118,I. Bel Hassani,70,21,Netherlands,Heracles Almelo,CAM
183519,N. Barazite,70,24,Netherlands,FC Utrecht,CAM
193346,G. Hupperts,70,22,Netherlands,AZ Alkmaar,LW, RW
200113,F. Jozefzoon,70,23,Netherlands,PSV,RW
200231,R. Alberg,70,23,Netherlands,ADO Den Haag,CAM, LW, RW
172850,R. Leeuwin,70,26,Netherlands,FC Utrecht,CB
9833,D. Boer,70,33,Netherlands,Ajax,GK
28050,J. ten Rouwelaar,70,33,Netherlands,NAC Breda,GK
139701,J. Hooiveld,70,31,Netherlands,Norwich City,CB
158800,W. Janssen,70,27,Netherlands,FC Utrecht,CAM
172630,D. Tiendalli,70,28,Netherlands,Swansea City,RB, LB
212210,R. Živković,69,17,Netherlands,Ajax,ST
201061,E. Manu,69,20,Netherlands,Feyenoord,LW
209372,M. Saymak,69,21,Netherlands,PEC Zwolle,CAM, RM
202459,J. Drost,69,21,Netherlands,PEC Zwolle,CAM, CM
190497,D. Hoesen,69,23,Netherlands,FC Groningen,ST
199044,J. Bakela,69,16,Netherlands,Terek Grozny,ST
200698,N. Marsman,69,23,Netherlands,FC Twente,GK
205603,M. van Duinen,69,22,Netherlands,ADO Den Haag,ST, LW
193561,K. Leerdam,69,24,Netherlands,Vitesse,CM, RB
204332,P. van Anholt,69,23,Netherlands,SC Heerenveen,RB, LB
176801,M. Emnes,69,26,Netherlands,Swansea City,ST, CAM
