short_name,overall,pace,shooting,passing,dribbling,defending,physic
L. Messi,93,93,89,86,96,27,63
Cristiano Ronaldo,92,93,93,81,91,32,79
A. Robben,90,93,86,83,92,32,64
Z. Ibrahimović,90,76,91,81,86,34,86
M. Neuer,90,,,,,,
L. Suárez,89,83,87,79,88,42,79
E. Hazard,88,90,82,84,91,32,64
R. van Persie,88,74,90,82,83,33,68
B. Schweinsteiger,88,61,81,85,82,78,80
F. Ribéry,88,89,78,85,92,29,62
Falcao,88,77,86,64,81,40,73
G. Bale,87,94,83,83,84,63,81
R. Lewandowski,87,80,84,74,85,39,78
P. Lahm,87,76,56,84,83,87,67
Sergio Ramos,87,79,61,71,66,87,82
Thiago Silva,87,78,57,72,72,90,80
David Silva,87,76,77,86,89,33,57
L. Modrić,87,76,74,85,89,71,70
J. Rodríguez,86,79,80,84,85,40,72
Neymar,86,90,80,72,92,30,58
T. Courtois,86,,,,,,
M. Hummels,86,66,59,75,71,88,78
A. Di María,86,90,79,83,87,57,71
M. Reus,86,91,86,84,86,33,65
T. Müller,86,81,84,82,80,46,72
S. Agüero,86,88,86,77,88,28,66
M. Özil,86,74,74,86,87,27,58
Xavi,86,66,72,91,85,60,58
Y. Touré,86,76,82,81,79,80,90
W. Rooney,86,76,87,80,83,44,87
V. Kompany,86,73,56,69,67,87,81
M. Götze,85,80,74,82,89,35,63
Sergio Busquets,85,56,59,78,75,81,81
T. Kroos,85,58,81,89,84,58,69
K. Benzema,85,84,84,75,82,30,74
E. Cavani,85,79,83,70,80,41,81
Diego Costa,85,82,83,63,79,40,88
A. Vidal,85,78,78,80,81,81,83
H. Lloris,85,,,,,,
Javi Martinez,85,53,61,72,68,84,85
Juan Mata,85,74,75,84,87,31,60
J. Boateng,85,77,50,66,69,83,82
P. Čech,85,,,,,,
C. Tévez,85,86,86,78,87,46,84
Piqué,84,66,54,69,60,86,76
A. Turan,84,76,74,83,86,61,72
A. Sánchez,84,88,81,75,87,39,66
Oscar,84,81,75,80,85,43,44
S. Nasri,84,79,76,84,86,39,60
M. Benatia,84,75,45,54,64,88,84
S. Khedira,84,56,69,74,65,83,86
G. Higuaín,84,81,84,68,80,30,71
S. Sirigu,84,,,,,,
Casillas,84,,,,,,
A. Pirlo,84,43,69,91,82,55,59
Xabi Alonso,84,55,71,86,68,78,72
D. De Rossi,84,68,71,79,75,82,84
G. Chiellini,84,76,51,55,56,87,86
W. Sneijder,84,75,80,87,84,48,63
Santi Cazorla,84,73,78,85,87,31,61
K. Huntelaar,84,68,85,64,72,32,73
Cesc Fàbregas,84,68,79,88,81,64,63
D. Godín,84,67,48,62,60,86,78
P. Pogba,83,76,78,79,83,73,88
Isco,83,76,76,82,86,32,62
I. Gündoğan,83,79,70,83,86,67,70
De Gea,83,,,,,,
J. Cuadrado,83,93,77,76,87,57,71
D. Sturridge,83,89,82,69,81,29,70
M. Pjanić,83,72,75,85,84,63,66
A. Ramsey,83,71,78,79,80,70,77
Pedro,83,83,76,78,84,37,60
E. Garay,83,52,57,68,64,86,78
B. Matuidi,83,78,67,76,76,84,82
S. Ruffier,83,,,,,,
I. Rakitić,83,69,82,87,81,55,67
A. Candreva,83,85,79,82,84,57,74
R. Weidenfeller,83,,,,,,
J. Terry,83,41,47,56,52,84,80
P. Mertesacker,83,31,41,57,48,87,76
J. Toulalan,83,53,50,77,71,79,82
Pepe,83,73,51,58,59,84,83
A. Barzagli,83,75,36,58,59,86,79
N. Vidić,83,52,39,55,51,84,83
J. Mascherano,83,69,59,70,69,84,80
Negredo,83,73,83,68,77,39,82
Dani Alves,83,86,70,79,83,76,68
Jesús Navas,83,91,71,78,84,29,53
Diego López,83,,,,,,
I. Akinfeev,83,,,,,,
J. Farfán,83,87,77,80,84,37,76
João Moutinho,83,74,75,83,82,71,72
S. Handanovič,83,,,,,,
Miranda,83,76,49,56,57,84,79
C. Marchisio,83,79,76,81,83,74,79
C. Bravo,83,,,,,,
E. Džeko,83,71,84,68,78,36,71
M. Mandžukić,83,75,82,61,75,43,87
S. Kagawa,83,82,73,76,88,32,49
Hulk,83,85,87,80,81,43,86
C. Eriksen,82,81,72,83,83,47,55
M. ter Stegen,82,,,,,,
A. Griezmann,82,85,77,76,83,30,68
C. Vela,82,86,77,74,85,30,65
D. Alaba,82,86,70,81,82,79,72
Lucas,82,93,73,76,87,44,63
M. Hamšik,82,73,77,81,81,58,70
M. Balotelli,82,82,82,68,81,30,79
D. Mertens,82,88,77,80,87,37,53
Marcelo,82,81,67,78,84,77,79
N. Matić,82,67,70,76,75,80,85
B. Leno,82,,,,,,
Koke,82,75,72,85,81,53,73
J. Martínez,82,82,81,66,78,43,85
G. Rossi,82,83,83,74,84,29,52
A. Begović,82,,,,,,
J. Vertonghen,82,72,67,74,69,82,81
Sokratis,82,78,52,61,65,84,82
B. Höwedes,82,66,50,65,65,83,78
Willian,82,89,73,78,87,51,63
N. Subotić,82,71,57,58,57,83,79
N. Gaitán,82,83,74,81,86,38,57
S. Doumbia,82,93,82,68,82,38,73
J. Hart,82,,,,,,
S. Mignolet,82,,,,,,
David Luiz,82,77,64,72,72,80,78
Luiz Gustavo,82,72,58,72,72,83,82
G. Buffon,82,,,,,,
S. Gerrard,82,63,83,85,75,70,81
T. Howard,82,,,,,,
Danny,82,85,76,81,84,33,56
Júlio César,82,,,,,,
T. Motta,82,50,66,78,73,79,84
R. Adler,82,,,,,,
Alex,82,54,64,53,55,84,83
Diego,82,75,73,84,85,39,64
P. Zabaleta,82,74,52,74,75,83,82
Gabi,82,68,72,80,76,75,73
M. Gomez,82,75,82,60,70,30,79
R. Palacio,82,85,82,77,84,31,60
Dante,82,64,56,72,71,83,76
E. Lavezzi,82,87,76,75,85,32,73
Borja Valero,82,71,74,85,81,65,67
L. Baines,82,77,74,81,77,80,74
S. Mandanda,82,,,,,,
Filipe Luís,82,82,62,76,78,81,77
J. Błaszczykowski,82,87,74,79,83,58,72
L. Piszczek,82,81,67,73,74,81,82
Hernanes,82,71,81,83,85,63,73
F. Muslera,82,,,,,,
F. Amorebielsa,82,53,47,56,50,81,85
S. Feghouli,81,84,73,75,86,41,63
R. Varane,81,76,45,60,62,83,76
A. Laporte,81,67,29,56,55,83,80
Coutinho,81,81,68,81,87,33,50
Thiago,81,72,72,79,87,57,65
K. De Bruyne,81,77,80,80,82,41,69
T. Walcott,81,96,77,75,81,33,64
Jordi Alba,81,92,69,75,81,78,76
J. Wilshere,81,76,69,81,84,61,77
K. Strootman,81,67,72,79,76,75,83
H. Mkhitaryan,81,86,75,77,85,54,71
Roberto Firmino,81,77,77,77,85,33,67
G. dos Santos,81,86,81,69,88,29,55
N. Şahin,81,55,69,84,82,67,59
Leandro Castán,81,71,39,50,57,84,81
L. Bender,81,68,65,75,73,81,81
S. Jovetić,81,78,82,78,83,38,70
Iturraspe,81,67,66,77,72,77,80
W. Bony,81,73,82,59,74,39,85
A. Schürrle,81,88,83,75,83,37,67
Gervinho,81,93,69,72,83,40,64
